Code Snippet,Syntax Error,Optimization Suggestion,Time Complexity,Cyclomatic Complexity
"function longestConsecutive(nums) { if (!nums.length) return 0; const set = new Set(nums); let maxStreak = 0; for (let num of set) { if (!set.has(num - 1)) { let currentNum = num; let currentStreak = 1; while (set.has(currentNum + 1)) { currentNum++; currentStreak++; } maxStreak = Math.max(maxStreak, currentStreak); } } return maxStreak; }",No,No,O(n),2
"const maxSubArray = (nums) => { let maxSum = nums[0]; let currentSum = nums[0]; for (let i = 1; i < nums.length; i++) { currentSum = Math.max(nums[i], currentSum + nums[i]); maxSum = Math.max(maxSum, currentSum); } return maxSum; };",No,No,O(n),2
"function canFinish(numCourses, prerequisites) { const graph = new Map(); const visited = new Array(numCourses).fill(false); const dfs = (course) => { if (visited[course]) return false; visited[course] = true; for (let pre of graph.get(course) || []) { if (!dfs(pre)) return false; } visited[course] = false; return true; }; for (let [course, pre] of prerequisites) { if (!graph.has(course)) graph.set(course, []); graph.get(course).push(pre); } for (let course of graph.keys()) { if (!dfs(course)) return false; } return true; }",No,No,O(n + p),3
"const productExceptSelf = (nums) => { const result = Array(nums.length).fill(1); let left = 1; for (let i = 0; i < nums.length; i++) { result[i] = left; left *= nums[i]; } let right = 1; for (let i = nums.length - 1; i >= 0; i--) { result[i] *= right; right *= nums[i]; } return result; };",No,No,O(n),2
"function minWindow(s, t) { const map = {}; for (let char of t) map[char] = (map[char] || 0) + 1; let start = 0, end = 0, minStart = 0, minLen = Infinity, counter = t.length; while (end < s.length) { if (map[s[end]] > 0) counter--; map[s[end]]--; end++; while (counter === 0) { if (end - start < minLen) { minLen = end - start; minStart = start; } map[s[start]]++; if (map[s[start]] > 0) counter++; start++; } } return minLen === Infinity ? '' : s.substr(minStart, minLen); }",No,No,O(s + t),3
"const twoSum = (nums, target) => { const map = new Map(); for (let i = 0; i < nums.length; i++) { if (map.has(target - nums[i])) return [map.get(target - nums[i]), i]; map.set(nums[i], i); } };",No,No,O(n),2
"function threeSum(nums) { nums.sort((a, b) => a - b); const result = []; for (let i = 0; i < nums.length - 2; i++) { if (i > 0 && nums[i] === nums[i - 1]) continue; let left = i + 1, right = nums.length - 1; while (left < right) { const sum = nums[i] + nums[left] + nums[right]; if (sum === 0) { result.push([nums[i], nums[left], nums[right]]); while (nums[left] === nums[left + 1]) left++; while (nums[right] === nums[right - 1]) right--; left++; right--; } else if (sum < 0) left++; else right--; } } return result; }",No,No,O(n^2),3
"const findMedianSortedArrays = (nums1, nums2) => { const merge = (a, b) => { const merged = []; let i = 0, j = 0; while (i < a.length && j < b.length) { if (a[i] < b[j]) merged.push(a[i++]); else merged.push(b[j++]); } return merged.concat(a.slice(i)).concat(b.slice(j)); }; const merged = merge(nums1, nums2); const mid = Math.floor(merged.length / 2); return merged.length % 2 === 0 ? (merged[mid - 1] + merged[mid]) / 2 : merged[mid]; };",No,No,O(n + m),2
"function letterCombinations(digits) { if (!digits.length) return []; const map = { 2: 'abc', 3: 'def', 4: 'ghi', 5: 'jkl', 6: 'mno', 7: 'pqrs', 8: 'tuv', 9: 'wxyz' }; const result = []; const backtrack = (index, path) => { if (path.length === digits.length) { result.push(path); return; } for (let char of map[digits[index]]) backtrack(index + 1, path + char); }; backtrack(0, ''); return result; }",No,No,O(4^n),3
"const searchMatrix = (matrix, target) => { if (!matrix.length || !matrix[0].length) return false; let row = 0, col = matrix[0].length - 1; while (row < matrix.length && col >= 0) { if (matrix[row][col] === target) return true; if (matrix[row][col] > target) col--; else row++; } return false; };",No,No,O(m + n),2
"function findDuplicates(nums) { const result = []; for (let num of nums) { const index = Math.abs(num) - 1; if (nums[index] < 0) result.push(index + 1); else nums[index] = -nums[index]; } return result; }",No,No,O(n),2
"const rob = (nums) => { let prev = 0, curr = 0; for (let num of nums) { let temp = Math.max(num + prev, curr); prev = curr; curr = temp; } return curr; };",No,No,O(n),2
"function coinChange(coins, amount) { const dp = Array(amount + 1).fill(Infinity); dp[0] = 0; for (let coin of coins) { for (let i = coin; i <= amount; i++) dp[i] = Math.min(dp[i], dp[i - coin] + 1); } return dp[amount] === Infinity ? -1 : dp[amount]; }",No,No,O(n),2
"const addBinary = (a, b) => { let i = a.length - 1, j = b.length - 1, carry = 0, result = ''; while (i >= 0 || j >= 0 || carry) { const sum = (i >= 0 ? +a[i--] : 0) + (j >= 0 ? +b[j--] : 0) + carry; carry = Math.floor(sum / 2); result = (sum % 2) + result; } return result; };",No,No,O(n),2
"function rotate(matrix) { for (let i = 0; i < matrix.length; i++) { for (let j = i; j < matrix[0].length; j++) { [matrix[i][j], matrix[j][i]] = [matrix[j][i], matrix[i][j]]; } } for (let row of matrix) row.reverse(); }",No,No,O(n^2),2
"const maxProfit = (prices) => { let minPrice = prices[0], maxProfit = 0; for (let price of prices) { minPrice = Math.min(minPrice, price); maxProfit = Math.max(maxProfit, price - minPrice); } return maxProfit; };",No,No,O(n),2
"function flatten(root) { let prev = null; const dfs = (node) => { if (!node) return; dfs(node.right); dfs(node.left); node.right = prev; node.left = null; prev = node; }; dfs(root); }",No,No,O(n),2
"const zigzagLevelOrder = (root) => { if (!root) return []; const result = []; let queue = [root], direction = true; while (queue.length) { const level = []; const size = queue.length; for (let i = 0; i < size; i++) { const node = queue.shift(); if (direction) level.push(node.val); else level.unshift(node.val); if (node.left) queue.push(node.left); if (node.right) queue.push(node.right); } result.push(level); direction = !direction; } return result; };",No,No,O(n),2
"function longestPalindrome(s) { let res = ''; for (let i = 0; i < s.length; i++) { let odd = expandFromCenter(s, i, i); let even = expandFromCenter(s, i, i + 1); let longer = odd.length > even.length ? odd : even; res = longer.length > res.length ? longer : res; } return res; } function expandFromCenter(s, left, right) { while (left >= 0 && right < s.length && s[left] === s[right]) { left--; right++; } return s.slice(left + 1, right); }",No,No,O(n^2),3
"const inorderTraversal = (root) => { const result = []; const stack = []; let current = root; while (current || stack.length) { while (current) { stack.push(current); current = current.left; } current = stack.pop(); result.push(current.val); current = current.right; } return result; };",No,No,O(n),2
"function maxDepth(root) { if (!root) return 0; let maxDepth = 0; const dfs = (node, depth) => { if (!node) return; maxDepth = Math.max(maxDepth, depth); dfs(node.left, depth + 1); dfs(node.right, depth + 1); }; dfs(root, 1); return maxDepth; }",No,No,O(n),2
"const reverseList = (head) => { let prev = null; while (head) { let next = head.next; head.next = prev; prev = head; head = next; } return prev; };",No,No,O(n),2
"function hasCycle(head) { let slow = head, fast = head; while (fast && fast.next) { slow = slow.next; fast = fast.next.next; if (slow === fast) return true; } return false; }",No,No,O(n),2
"const addTwoNumbers = (l1, l2) => { let carry = 0, result = new ListNode(0), current = result; while (l1 || l2 || carry) { let sum = (l1 ? l1.val : 0) + (l2 ? l2.val : 0) + carry; carry = Math.floor(sum / 10); current.next = new ListNode(sum % 10); current = current.next; l1 = l1 ? l1.next : null; l2 = l2 ? l2.next : null; } return result.next; };",No,No,O(n),2
"function deleteNode(node) { node.val = node.next.val; node.next = node.next.next; }",No,No,O(1),1
"const mergeTwoLists = (l1, l2) => { if (!l1) return l2; if (!l2) return l1; if (l1.val < l2.val) { l1.next = mergeTwoLists(l1.next, l2); return l1; } else { l2.next = mergeTwoLists(l2.next, l1); return l2; } };",No,No,O(n + m),2
"function removeNthFromEnd(head, n) { let dummy = new ListNode(0); dummy.next = head; let first = dummy, second = dummy; for (let i = 0; i <= n; i++) first = first.next; while (first) { first = first.next; second = second.next; } second.next = second.next.next; return dummy.next; }",No,No,O(n),2
"const isValidBST = (root) => { const validate = (node, low = -Infinity, high = Infinity) => { if (!node) return true; if (node.val <= low || node.val >= high) return false; return validate(node.left, low, node.val) && validate(node.right, node.val, high); }; return validate(root); };",No,No,O(n),2
"function buildTree(preorder, inorder) { if (!preorder.length || !inorder.length) return null; const root = new TreeNode(preorder[0]); const mid = inorder.indexOf(preorder[0]); root.left = buildTree(preorder.slice(1, mid + 1), inorder.slice(0, mid)); root.right = buildTree(preorder.slice(mid + 1), inorder.slice(mid + 1)); return root; }",No,No,O(n),2
"const levelOrder = (root) => { if (!root) return []; const result = []; const queue = [root]; while (queue.length) { const level = []; const size = queue.length; for (let i = 0; i < size; i++) { const node = queue.shift(); level.push(node.val); if (node.left) queue.push(node.left); if (node.right) queue.push(node.right); } result.push(level); } return result; };",No,No,O(n),2
"function kthSmallest(root, k) { const inorder = (node) => { if (!node) return []; return [...inorder(node.left), node.val, ...inorder(node.right)]; }; return inorder(root)[k - 1]; }",No,No,O(n),2
"const lowestCommonAncestor = (root, p, q) => { if (!root || root === p || root === q) return root; const left = lowestCommonAncestor(root.left, p, q); const right = lowestCommonAncestor(root.right, p, q); return left && right ? root : left || right; };",No,No,O(n),2
"function rightSideView(root) { if (!root) return []; const result = []; let queue = [root]; while (queue.length) { const size = queue.length; result.push(queue[size - 1].val); for (let i = 0; i < size; i++) { const node = queue.shift(); if (node.left) queue.push(node.left); if (node.right) queue.push(node.right); } } return result; }",No,No,O(n),2
"const isSymmetric = (root) => { if (!root) return true; const isMirror = (t1, t2) => { if (!t1 && !t2) return true; if (!t1 || !t2 || t1.val !== t2.val) return false; return isMirror(t1.left, t2.right) && isMirror(t1.right, t2.left); }; return isMirror(root.left, root.right); };",No,No,O(n),2
"function pathSum(root, targetSum) { if (!root) return []; const result = []; const dfs = (node, currentSum, path) => { if (!node) return; currentSum += node.val; path.push(node.val); if (!node.left && !node.right && currentSum === targetSum) result.push([...path]); dfs(node.left, currentSum, path); dfs(node.right, currentSum, path); path.pop(); }; dfs(root, 0, []); return result; }",No,No,O(n),2
"const invertTree = (root) => { if (!root) return null; const left = invertTree(root.left); const right = invertTree(root.right); root.left = right; root.right = left; return root; };",No,No,O(n),2
"function sumNumbers(root) { let sum = 0; const dfs = (node, currentSum) => { if (!node) return; currentSum = currentSum * 10 + node.val; if (!node.left && !node.right) sum += currentSum; dfs(node.left, currentSum); dfs(node.right, currentSum); }; dfs(root, 0); return sum; }",No,No,O(n),2
"const flatten = (root) => { if (!root) return; flatten(root.right); flatten(root.left); root.right = prev; root.left = null; prev = root; }; let prev = null;",No,No,O(n),2
"function findDuplicate(nums) { let slow = nums[0], fast = nums[0]; do { slow = nums[slow]; fast = nums[nums[fast]]; } while (slow !== fast); slow = nums[0]; while (slow !== fast) { slow = nums[slow]; fast = nums[fast]; } return slow; }",No,No,O(n),2
"const majorityElement = (nums) => { let count = 0, candidate = null; for (let num of nums) { if (count === 0) candidate = num; count += (num === candidate) ? 1 : -1; } return candidate; };",No,No,O(n),2
"function rotate(nums, k) { k %= nums.length; reverse(nums, 0, nums.length - 1); reverse(nums, 0, k - 1); reverse(nums, k, nums.length - 1); } function reverse(nums, start, end) { while (start < end) { [nums[start], nums[end]] = [nums[end], nums[start]]; start++; end--; } }",No,No,O(n),2
"const containsDuplicate = (nums) => { const set = new Set(); for (let num of nums) { if (set.has(num)) return true; set.add(num); } return false; };",No,No,O(n),2
"function maxProduct(nums) { let max = -Infinity, min = Infinity, result = -Infinity; for (let num of nums) { if (num < 0) [max, min] = [min, max]; max = Math.max(num, max * num); min = Math.min(num, min * num); result = Math.max(result, max); } return result; }",No,No,O(n),2
"function singleNumber(nums) { return nums.reduce((acc, num) => acc ^ num, 0); }",No,No,O(n),2
"const twoSum = (nums, target) => { const map = new Map(); for (let i = 0; i < nums.length; i++) { const complement = target - nums[i]; if (map.has(complement)) return [map.get(complement), i]; map.set(nums[i], i); } return []; };",No,No,O(n),2
"function merge(intervals) { if (!intervals.length) return []; intervals.sort((a, b) => a[0] - b[0]); const merged = [intervals[0]]; for (let i = 1; i < intervals.length; i++) { const current = intervals[i]; const last = merged[merged.length - 1]; if (current[0] <= last[1]) last[1] = Math.max(last[1], current[1]); else merged.push(current); } return merged; }",No,No,O(n log n),3
"const maxSubArray = (nums) => { let maxSoFar = nums[0], maxEndingHere = nums[0]; for (let i = 1; i < nums.length; i++) { maxEndingHere = Math.max(nums[i], maxEndingHere + nums[i]); maxSoFar = Math.max(maxSoFar, maxEndingHere); } return maxSoFar; };",No,No,O(n),2
"function climbStairs(n) { if (n <= 2) return n; let prev = 1, current = 2; for (let i = 3; i <= n; i++) { const next = prev + current; prev = current; current = next; } return current; }",No,No,O(n),2
"const coinChange = (coins, amount) => { const dp = Array(amount + 1).fill(Infinity); dp[0] = 0; for (let coin of coins) { for (let i = coin; i <= amount; i++) { dp[i] = Math.min(dp[i], dp[i - coin] + 1); } } return dp[amount] === Infinity ? -1 : dp[amount]; };",No,No,O(n * m),3
"function minPathSum(grid) { const rows = grid.length, cols = grid[0].length; const dp = Array(rows).fill(0).map(() => Array(cols).fill(0)); dp[0][0] = grid[0][0]; for (let i = 1; i < rows; i++) dp[i][0] = dp[i - 1][0] + grid[i][0]; for (let j = 1; j < cols; j++) dp[0][j] = dp[0][j - 1] + grid[0][j]; for (let i = 1; i < rows; i++) { for (let j = 1; j < cols; j++) { dp[i][j] = Math.min(dp[i - 1][j], dp[i][j - 1]) + grid[i][j]; } } return dp[rows - 1][cols - 1]; }",No,No,O(n * m),3
"const rob = (nums) => { let prev1 = 0, prev2 = 0; for (let num of nums) { let temp = prev1; prev1 = Math.max(prev1, prev2 + num); prev2 = temp; } return prev1; };",No,No,O(n),2
"function jump(nums) { let jumps = 0, farthest = 0, end = 0; for (let i = 0; i < nums.length - 1; i++) { farthest = Math.max(farthest, i + nums[i]); if (i === end) { jumps++; end = farthest; } } return jumps; }",No,No,O(n),2
"const lengthOfLIS = (nums) => { const dp = Array(nums.length).fill(1); for (let i = 1; i < nums.length; i++) { for (let j = 0; j < i; j++) { if (nums[i] > nums[j]) dp[i] = Math.max(dp[i], dp[j] + 1); } } return Math.max(...dp); };",No,No,O(n^2),3
"function canJump(nums) { let maxReach = 0; for (let i = 0; i < nums.length; i++) { if (i > maxReach) return false; maxReach = Math.max(maxReach, i + nums[i]); } return true; }",No,No,O(n),2
"const uniquePaths = (m, n) => { const dp = Array(m).fill(0).map(() => Array(n).fill(1)); for (let i = 1; i < m; i++) { for (let j = 1; j < n; j++) { dp[i][j] = dp[i - 1][j] + dp[i][j - 1]; } } return dp[m - 1][n - 1]; };",No,No,O(m * n),3
"function countSubstrings(s) { let count = 0; for (let i = 0; i < s.length; i++) { count += expandFromCenter(s, i, i); count += expandFromCenter(s, i, i + 1); } return count; } function expandFromCenter(s, left, right) { let count = 0; while (left >= 0 && right < s.length && s[left] === s[right]) { count++; left--; right++; } return count; }",No,No,O(n^2),3
"const numIslands = (grid) => { let count = 0; const dfs = (i, j) => { if (i < 0 || j < 0 || i >= grid.length || j >= grid[0].length || grid[i][j] === '0') return; grid[i][j] = '0'; dfs(i + 1, j); dfs(i - 1, j); dfs(i, j + 1); dfs(i, j - 1); }; for (let i = 0; i < grid.length; i++) { for (let j = 0; j < grid[0].length; j++) { if (grid[i][j] === '1') { count++; dfs(i, j); } } } return count; };",No,No,O(n * m),3
"function maxArea(height) { let maxArea = 0, left = 0, right = height.length - 1; while (left < right) { const area = Math.min(height[left], height[right]) * (right - left); maxArea = Math.max(maxArea, area); if (height[left] < height[right]) left++; else right--; } return maxArea; }",No,No,O(n),2
"const trap = (height) => { let left = 0, right = height.length - 1, leftMax = 0, rightMax = 0, result = 0; while (left < right) { if (height[left] < height[right]) { leftMax = Math.max(leftMax, height[left]); result += leftMax - height[left]; left++; } else { rightMax = Math.max(rightMax, height[right]); result += rightMax - height[right]; right--; } } return result; };",No,No,O(n),2
"function longestValidParentheses(s) { let maxLen = 0; const stack = [-1]; for (let i = 0; i < s.length; i++) { if (s[i] === '(') stack.push(i); else { stack.pop(); if (stack.length) maxLen = Math.max(maxLen, i - stack[stack.length - 1]); else stack.push(i); } } return maxLen; }",No,No,O(n),2
"const dailyTemperatures = (T) => { const result = Array(T.length).fill(0); const stack = []; for (let i = 0; i < T.length; i++) { while (stack.length && T[i] > T[stack[stack.length - 1]]) { const idx = stack.pop(); result[idx] = i - idx; } stack.push(i); } return result; };",No,No,O(n),2
"function largestRectangleArea(heights) { const stack = [], result = 0; for (let i = 0; i <= heights.length; i++) { while (stack.length && (i === heights.length || heights[i] < heights[stack[stack.length - 1]])) { const height = heights[stack.pop()]; const width = stack.length ? i - stack[stack.length - 1] - 1 : i; result = Math.max(result, height * width); } stack.push(i); } return result; }",No,No,O(n),2
"const maximalRectangle = (matrix) => { if (!matrix.length) return 0; const heights = Array(matrix[0].length).fill(0); let maxArea = 0; for (let row of matrix) { for (let i = 0; i < row.length; i++) { heights[i] = row[i] === '1' ? heights[i] + 1 : 0; } maxArea = Math.max(maxArea, largestRectangleArea(heights)); } return maxArea; };",No,No,O(n * m),3
"function maximalSquare(matrix) { if (!matrix.length) return 0; const dp = Array(matrix.length).fill(0).map(() => Array(matrix[0].length).fill(0)); let maxSide = 0; for (let i = 0; i < matrix.length; i++) { for (let j = 0; j < matrix[0].length; j++) { if (matrix[i][j] === '1') { dp[i][j] = i === 0 || j === 0 ? 1 : Math.min(dp[i - 1][j], dp[i][j - 1], dp[i - 1][j - 1]) + 1; maxSide = Math.max(maxSide, dp[i][j]); } } } return maxSide * maxSide; }",No,No,O(n * m),3
"const wordBreak = (s, wordDict) => { const dp = Array(s.length + 1).fill(false); dp[0] = true; for (let i = 1; i <= s.length; i++) { for (let word of wordDict) { if (i >= word.length && dp[i - word.length] && s.slice(i - word.length, i) === word) { dp[i] = true; break; } } } return dp[s.length]; };",No,No,O(n * m),3
"function numDecodings(s) { if (!s.length) return 0; const dp = Array(s.length + 1).fill(0); dp[0] = 1; dp[1] = s[0] === '0' ? 0 : 1; for (let i = 2; i <= s.length; i++) { const oneDigit = s.slice(i - 1, i); const twoDigits = s.slice(i - 2, i); if (oneDigit >= '1' && oneDigit <= '9') dp[i] += dp[i - 1]; if (twoDigits >= '10' && twoDigits <= '26') dp[i] += dp[i - 2]; } return dp[s.length]; }",No,No,O(n),2
"const generateParenthesis = (n) => { const result = []; const backtrack = (open, close, path) => { if (open === n && close === n) return result.push(path); if (open < n) backtrack(open + 1, close, path + '('); if (close < open) backtrack(open, close + 1, path + ')'); }; backtrack(0, 0, ''); return result; };",No,No,O(4^n / sqrt(n)),3
"function findMin(nums) { let left = 0, right = nums.length - 1; while (left < right) { const mid = Math.floor((left + right) / 2); if (nums[mid] > nums[right]) left = mid + 1; else right = mid; } return nums[left]; }",No,No,O(log n),2
"const searchRange = (nums, target) => { const binarySearch = (left, right) => { if (left > right) return [-1, -1]; const mid = Math.floor((left + right) / 2); if (nums[mid] === target) { let l = mid, r = mid; while (nums[l - 1] === target) l--; while (nums[r + 1] === target) r++; return [l, r]; } if (nums[mid] > target) return binarySearch(left, mid - 1); else return binarySearch(mid + 1, right); }; return binarySearch(0, nums.length - 1); };",No,No,O(log n),2
"function findKthLargest(nums, k) { const quickSelect = (left, right, kSmallest) => { if (left === right) return nums[left]; const pivotIndex = Math.floor(Math.random() * (right - left + 1)) + left; const pivotValue = nums[pivotIndex]; let index = partition(left, right, pivotIndex, pivotValue); if (kSmallest === index) return nums[index]; else if (kSmallest < index) return quickSelect(left, index - 1, kSmallest); else return quickSelect(index + 1, right, kSmallest); }; const partition = (left, right, pivotIndex, pivotValue) => { [nums[pivotIndex], nums[right]] = [nums[right], nums[pivotIndex]]; let storeIndex = left; for (let i = left; i < right; i++) { if (nums[i] < pivotValue) { [nums[storeIndex], nums[i]] = [nums[i], nums[storeIndex]]; storeIndex++; } } [nums[storeIndex], nums[right]] = [nums[right], nums[storeIndex]]; return storeIndex; }; return quickSelect(0, nums.length - 1, nums.length - k); }",No,No,O(n),3
"const mergeKLists = (lists) => { if (!lists.length) return null; const mergeTwoLists = (l1, l2) => { const dummy = new ListNode(0); let tail = dummy; while (l1 && l2) { if (l1.val < l2.val) { tail.next = l1; l1 = l1.next; } else { tail.next = l2; l2 = l2.next; } tail = tail.next; } tail.next = l1 || l2; return dummy.next; }; let mergedList = lists[0]; for (let i = 1; i < lists.length; i++) mergedList = mergeTwoLists(mergedList, lists[i]); return mergedList; };",No,No,O(n log k),3
"function longestPalindromeSubseq(s) { const dp = Array(s.length).fill(0).map(() => Array(s.length).fill(0)); for (let i = 0; i < s.length; i++) dp[i][i] = 1; for (let len = 2; len <= s.length; len++) { for (let i = 0; i <= s.length - len; i++) { const j = i + len - 1; if (s[i] === s[j]) dp[i][j] = dp[i + 1][j - 1] + 2; else dp[i][j] = Math.max(dp[i + 1][j], dp[i][j - 1]); } } return dp[0][s.length - 1]; }",No,No,O(n^2),3
"const combinationSum = (candidates, target) => { const result = []; const backtrack = (start, path, remain) => { if (remain === 0) return result.push(path); if (remain < 0) return; for (let i = start; i < candidates.length; i++) backtrack(i, [...path, candidates[i]], remain - candidates[i]); }; backtrack(0, [], target); return result; };",No,No,O(2^n),3
"function permute(nums) { const result = []; const backtrack = (path) => { if (path.length === nums.length) return result.push(path); for (let i = 0; i < nums.length; i++) { if (path.includes(nums[i])) continue; backtrack([...path, nums[i]]); } }; backtrack([]); return result; }",No,No,O(n!),3
"const subsets = (nums) => { const result = []; const backtrack = (start, path) => { result.push(path); for (let i = start; i < nums.length; i++) backtrack(i + 1, [...path, nums[i]]); }; backtrack(0, []); return result; };",No,No,O(2^n),3
"function letterCombinations(digits) { if (!digits.length) return []; const digitToChar = { '2': 'abc', '3': 'def', '4': 'ghi', '5': 'jkl', '6': 'mno', '7': 'pqrs', '8': 'tuv', '9': 'wxyz' }; const result = []; const backtrack = (index, path) => { if (path.length === digits.length) return result.push(path); for (let char of digitToChar[digits[index]]) backtrack(index + 1, path + char); }; backtrack(0, ''); return result; }",No,No,O(3^n),3
"const isValidSudoku = (board) => { const rows = Array(9).fill().map(() => new Set()), cols = Array(9).fill().map(() => new Set()), boxes = Array(9).fill().map(() => new Set()); for (let i = 0; i < 9; i++) { for (let j = 0; j < 9; j++) { if (board[i][j] !== '.') { const num = board[i][j]; const boxIndex = Math.floor(i / 3) * 3 + Math.floor(j / 3); if (rows[i].has(num) || cols[j].has(num) || boxes[boxIndex].has(num)) return false; rows[i].add(num); cols[j].add(num); boxes[boxIndex].add(num); } } } return true; };",No,No,O(1),2
"function solveSudoku(board) { const isValid = (row, col, num) => { for (let i = 0; i < 9; i++) { if (board[row][i] === num || board[i][col] === num) return false; } const boxRow = Math.floor(row / 3) * 3; const boxCol = Math.floor(col / 3) * 3; for (let i = boxRow; i < boxRow + 3; i++) { for (let j = boxCol; j < boxCol + 3; j++) { if (board[i][j] === num) return false; } } return true; }; const backtrack = () => { for (let i = 0; i < 9; i++) { for (let j = 0; j < 9; j++) { if (board[i][j] === '.') { for (let num = 1; num <= 9; num++) { if (isValid(i, j, num.toString())) { board[i][j] = num.toString(); if (backtrack()) return true; board[i][j] = '.'; } } return false; } } } return true; }; backtrack(); }",No,No,O(9^(n*n)),3
"const searchInsert = (nums, target) => { let left = 0, right = nums.length - 1; while (left <= right) { const mid = Math.floor((left + right) / 2); if (nums[mid] === target) return mid; if (nums[mid] < target) left = mid + 1; else right = mid - 1; } return left; };",No,No,O(log n),2
"function isAnagram(s, t) { if (s.length !== t.length) return false; const count = {}; for (let char of s) count[char] = (count[char] || 0) + 1; for (let char of t) { if (!count[char]) return false; count[char]--; } return true; }",No,No,O(n),2
"const groupAnagrams = (strs) => { const map = {}; for (let str of strs) { const sortedStr = str.split('').sort().join(''); if (!map[sortedStr]) map[sortedStr] = []; map[sortedStr].push(str); } return Object.values(map); };",No,No,O(n * k log k),3
"const topKFrequent = (nums, k) => { const freqMap = {}; for (let num of nums) freqMap[num] = (freqMap[num] || 0) + 1; const sorted = Object.entries(freqMap).sort((a, b) => b[1] - a[1]); return sorted.slice(0, k).map(item => item[0]); };",No,No,O(n log n),3
"function findMode(root) { const count = {}, maxCount = [0], modes = []; const traverse = (node) => { if (!node) return; count[node.val] = (count[node.val] || 0) + 1; if (count[node.val] > maxCount[0]) { maxCount[0] = count[node.val]; modes.length = 0; modes.push(node.val); } else if (count[node.val] === maxCount[0]) modes.push(node.val); traverse(node.left); traverse(node.right); }; traverse(root); return modes; }",No,No,O(n),2
"const constructBinaryTree = (preorder, inorder) => { if (!preorder.length) return null; const root = new TreeNode(preorder[0]); const index = inorder.indexOf(preorder[0]); root.left = constructBinaryTree(preorder.slice(1, index + 1), inorder.slice(0, index)); root.right = constructBinaryTree(preorder.slice(index + 1), inorder.slice(index + 1)); return root; };",No,No,O(n),3
"const binaryTreePaths = (root) => { const paths = []; const dfs = (node, path) => { if (!node) return; path += node.val; if (!node.left && !node.right) paths.push(path); else { path += '->'; dfs(node.left, path); dfs(node.right, path); } }; dfs(root, ''); return paths; };",No,No,O(n),3
"function maxDepth(root) { if (!root) return 0; return Math.max(maxDepth(root.left), maxDepth(root.right)) + 1; }",No,No,O(n),2
"function lowestCommonAncestor(root, p, q) { if (!root || root === p || root === q) return root; const left = lowestCommonAncestor(root.left, p, q); const right = lowestCommonAncestor(root.right, p, q); if (left && right) return root; return left || right; }",No,No,O(n),2
"const numTrees = (n) => { const dp = Array(n + 1).fill(0); dp[0] = 1; for (let i = 1; i <= n; i++) { for (let j = 0; j < i; j++) dp[i] += dp[j] * dp[i - j - 1]; } return dp[n]; };",No,No,O(n^2),3
"const uniquePaths = (m, n) => { const dp = Array(m).fill(0).map(() => Array(n).fill(0)); for (let i = 0; i < m; i++) dp[i][0] = 1; for (let j = 0; j < n; j++) dp[0][j] = 1; for (let i = 1; i < m; i++) { for (let j = 1; j < n; j++) dp[i][j] = dp[i - 1][j] + dp[i][j - 1]; } return dp[m - 1][n - 1]; };",No,No,O(m * n),3
"const climbStairs = (n) => { if (n <= 2) return n; let first = 1, second = 2; for (let i = 3; i <= n; i++) { const temp = second; second += first; first = temp; } return second; };",No,No,O(n),2
"const coinChange = (coins, amount) => { const dp = Array(amount + 1).fill(Infinity); dp[0] = 0; for (let coin of coins) { for (let i = coin; i <= amount; i++) { dp[i] = Math.min(dp[i], dp[i - coin] + 1); } } return dp[amount] === Infinity ? -1 : dp[amount]; };",No,No,O(n * amount),3
"function lengthOfLIS(nums) { const dp = Array(nums.length).fill(1); let maxLength = 1; for (let i = 0; i < nums.length; i++) { for (let j = 0; j < i; j++) { if (nums[i] > nums[j]) { dp[i] = Math.max(dp[i], dp[j] + 1); maxLength = Math.max(maxLength, dp[i]); } } } return maxLength; }",No,No,O(n^2),3
"function maxProfit(prices) { let maxProfit = 0; for (let i = 0; i < prices.length; i++) { for (let j = i + 1; j < prices.length; j++) { maxProfit = Math.max(maxProfit, prices[j] - prices[i]); } } return maxProfit; }",No,No,O(n^2),3
"function containsDuplicate(nums) { const set = new Set(); for (let num of nums) { if (set.has(num)) return true; set.add(num); } return false; }",No,No,O(n),2
"const singleNumber = (nums) => { return nums.reduce((acc, num) => acc ^ num, 0); };",No,No,O(n),2
"function intersect(nums1, nums2) { const count = {}; const result = []; for (let num of nums1) count[num] = (count[num] || 0) + 1; for (let num of nums2) { if (count[num] > 0) { result.push(num); count[num]--; } } return result; }",No,No,O(n),2
"const isSubsequence = (s, t) => { let sIndex = 0; for (let char of t) { if (s[sIndex] === char) sIndex++; if (sIndex === s.length) return true; } return sIndex === s.length; };",No,No,O(n),2
"const minimumWindowSubstring = (s, t) => { const countT = {}; const windowCount = {}; for (let char of t) countT[char] = (countT[char] || 0) + 1; let left = 0, right = 0, required = Object.keys(countT).length, formed = 0; let ans = [Infinity, 0, 0]; while (right < s.length) { const char = s[right]; windowCount[char] = (windowCount[char] || 0) + 1; if (char in countT && windowCount[char] === countT[char]) formed++; while (left <= right && formed === required) { const charLeft = s[left]; if (right - left + 1 < ans[0]) ans = [right - left + 1, left, right]; windowCount[charLeft]--; if (charLeft in countT && windowCount[charLeft] < countT[charLeft]) formed--; left++; } right++; } return ans[0] === Infinity ? "" : s.substring(ans[1], ans[2] + 1); };",No,No,O(n),3
